Year,Category,Winner
1963,Costume Design (Color),Irene Sharaff / Vittorio Nino Novarese / Renie
1963,Directing,Tony Richardson
1963,Film Editing,Harold F. Kress
1963,International Feature Film,Federico Fellini's 8-1/2
1963,Best Picture,Tom Jones
1963,Writing (Adapted Screenplay),John Osborne
1963,Writing (Original Screenplay),James R. Webb
1964,Actor in a Leading Role,Rex Harrison
1964,Actor in a Supporting Role,Peter Ustinov
1964,Actress in a Leading Role,Julie Andrews
1964,Actress in a Supporting Role,Lila Kedrova
